parameter_subsection,parameter,simulator_field,implementing_class_or_function,current_value,current_semantics,units,timestep_frequency,representation,scope,mechanics_or_experiment,current_tests,empirical_candidate,candidate_source,uncertainty,candidate_units,candidate_frequency,latest_candidate_status,regime,collateral,primary_adoption_class,semantic_compatibility,interface_compatibility,unit_compatibility,frequency_compatibility,proposed_treatment,required_code_change,required_test,adoption_priority,adopted,notes
4.4.1,`liquidation_ratio`,liquidation_ratio,LiquidationConfig and liquidation execution,1.5 global; collateral override supported,Implemented runtime or experimental control for liquidation_ratio.,collateral-value/debt multiple,per liquidation attempt or simulation step,scalar/control,global with collateral-specific support,model mechanics,liquidation.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2c_liquidation_estimation.py,"[{""candidate_key"": ""phase2a:028"", ""collateral"": ""ETH-A"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""ETH-A_liquidation_ratio_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:029"", ""collateral"": ""ETH-B"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""ETH-B_liquidation_ratio_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:030"", ""collateral"": ""ETH-C"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""ETH-C_liquidation_ratio_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:031"", ""collateral"": ""WBTC-A"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""WBTC-A_liquidation_ratio_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:032"", ""collateral"": ""WBTC-B"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""WBTC-B_liquidation_ratio_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:033"", ""collateral"": ""WBTC-C"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""WBTC-C_liquidation_ratio_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}]",2A,Deterministic on-chain setting; no sampling interval.,ratio,effective_dated_hourly,ready_for_later_adoption,historical_replay,ETH-A; ETH-B; ETH-C; WBTC-A; WBTC-B; WBTC-C,protocol_constant_ready,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Historical replay uses effective-dated exact-ilk values; generic experiments use one declared baseline timestamp and explicit overrides.,configuration mapping only for represented fields,"exact-ilk mapping, baseline timestamp and override tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.4.2,`liquidation_penalty`,liquidation_penalty,LiquidationConfig and liquidation execution,0.13 global; collateral override supported,Implemented runtime or experimental control for liquidation_penalty.,fraction of repaid debt,per liquidation attempt or simulation step,scalar/control,global with collateral-specific support,model mechanics,liquidation.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2c_liquidation_estimation.py,"[{""candidate_key"": ""phase2a:034"", ""collateral"": ""ETH-A"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""ETH-A_liquidation_penalty_rate_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:035"", ""collateral"": ""ETH-B"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""ETH-B_liquidation_penalty_rate_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:036"", ""collateral"": ""ETH-C"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""ETH-C_liquidation_penalty_rate_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:037"", ""collateral"": ""WBTC-A"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""WBTC-A_liquidation_penalty_rate_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:038"", ""collateral"": ""WBTC-B"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""WBTC-B_liquidation_penalty_rate_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}, {""candidate_key"": ""phase2a:039"", ""collateral"": ""WBTC-C"", ""distribution"": ""protocol/protocol_parameter_summary.csv"", ""parameter"": ""WBTC-C_liquidation_penalty_rate_effective_history"", ""regime"": ""historical_replay"", ""status"": ""ready_for_later_adoption"", ""value"": """"}]",2A,Deterministic on-chain setting; no sampling interval.,fraction_of_debt,effective_dated_hourly,ready_for_later_adoption,historical_replay,ETH-A; ETH-B; ETH-C; WBTC-A; WBTC-B; WBTC-C,protocol_constant_ready,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Historical replay uses effective-dated exact-ilk values; generic experiments use one declared baseline timestamp and explicit overrides.,configuration mapping only for represented fields,"exact-ilk mapping, baseline timestamp and override tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.4.3,`gas_cost`,gas_cost,LiquidationConfig and liquidation execution,100 USD/DAI per attempted liquidation,Fixed top-level USD/DAI cost subtracted from each keeper attempt.,USD/DAI per attempted liquidation,per liquidation attempt or simulation step,scalar/control,global,model mechanics,liquidation.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2c_liquidation_estimation.py,"[{""candidate_key"": ""phase2a:026"", ""collateral"": ""ETH-A/B/C and WBTC-A/B/C"", ""distribution"": ""liquidations/liquidation_transaction_gas.csv"", ""parameter"": ""clean_take_transaction_gas_cost_usd"", ""regime"": ""calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": """"}]",2A,Transaction-level empirical quantiles; adoption requires review.,USD_per_top_level_transaction,transaction,provisional_sensitivity_required,calibration,ETH-A/B/C and WBTC-A/B/C,requires_scalar_reduction,compatible subject to stated units and scope,requires_scalar_reduction,compatible,compatible or not applicable,Reduce the clean successful-Take USD-cost distribution to a declared scalar only for the compatibility baseline; preserve gas units and gas price separately in the future sampler.,none for scalar; optional gas sampler later,"zero-cost exclusion, units, regime sensitivity and keeper-profit tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.4.4,`risk_cost_rate`,risk_cost_rate,LiquidationConfig and liquidation execution,0.0 share of repaid debt,Proportional reduced-form cost subtracted from keeper profit.,fraction of repaid debt,per liquidation attempt or simulation step,scalar/control,global,model mechanics,liquidation.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2c_liquidation_estimation.py,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global,requires_new_model_mechanism,"mismatch: empirical evidence identifies a participation threshold, not an arbitrary proportional risk cost",requires_new_model_mechanism,compatible,compatible or not applicable,Deprecate arbitrary tuning in favour of an empirically defined minimum expected-profit participation threshold; retain the legacy field until a migration is approved.,keeper participation-threshold mechanism or semantic migration,"profit threshold, gas/risk separation and legacy regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.4.5,`max_close_factor`,max_close_factor,LiquidationConfig and liquidation execution,1.0 global; collateral override supported,Maximum fraction of one vault's debt repaid in one simulated liquidation.,fraction of one vault's debt,per liquidation attempt or simulation step,scalar/control,global with collateral-specific support,model mechanics,liquidation.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2c_liquidation_estimation.py,"[{""candidate_key"": ""phase2c:000"", ""collateral"": ""six ilks; optional collateral override exists"", ""distribution"": """", ""parameter"": ""max_close_factor"", ""regime"": ""Terra/CeFi"", ""status"": ""protocol_value_ready_for_review"", ""value"": ""1.0""}]",2C,exact degenerate distribution; structural uncertainty is the protocol-transition versus simulator-stage mapping,fraction of pre-liquidation vault debt,Terra/CeFi,protocol_value_ready_for_review,Terra/CeFi,six ilks; optional collateral override exists,configuration_ready,compatible at protocol-close stage; auction execution remains distinct,no mechanics change,compatible,compatible or not applicable,Retain the field and review 1.0 in an empirical configuration; do not rename until a compatibility migration is separately approved.,configuration only,"profit, partial/full liquidation and established-scenario regression tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.4.6,`max_liquidations_per_step`,max_liquidations_per_step,LiquidationConfig and liquidation execution,None default; 2–20 in established experiments,Global count cap on profitable liquidations executed in one step.,liquidations per simulation step,per liquidation attempt or simulation step,scalar/control,global,model mechanics,liquidation.py smoke checks; tests/test_phase2a_estimation.py; tests/test_phase2c_liquidation_estimation.py,"[{""candidate_key"": ""phase2a:027"", ""collateral"": ""shared_system_capacity"", ""distribution"": ""liquidations/hourly_liquidation_summary.csv"", ""parameter"": ""observed_hourly_completion_capacity"", ""regime"": ""calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": """"}, {""candidate_key"": ""phase2c:002"", ""collateral"": ""shared global capacity; exact-ilk concentration retained"", ""distribution"": ""liquidation_sequence_estimates.csv"", ""parameter"": ""max_liquidations_per_step"", ""regime"": ""Terra/CeFi"", ""status"": ""provisional_distribution_choice"", ""value"": ""liquidation_sequence_estimates.csv""}]",2A; 2C,Empirical q90/q95/q99; fixed cap remains reduced-form.; sequence/day dependence; raw empirical distribution preferred,completed_auctions_per_hour; liquidations per hourly simulation step,Terra/CeFi; hourly,provisional_distribution_choice; provisional_sensitivity_required,Terra/CeFi; calibration,shared global capacity; exact-ilk concentration retained; shared_system_capacity,requires_scalar_reduction,compatible subject to stated units and scope,requires_scalar_reduction,compatible,requires confirmation that one simulation step is one hour,Keep deterministic capacity separate from endogenous liquidation demand; review an active-hour scalar before any hurdle sampler.,none for scalar reduction; distribution interface for hurdle process,"capacity, backlog, zero-hour and clustered-demand tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.1,`normal_lower_price`,normal_lower_price,ConfidenceConfig and confidence classification,0.99 USD/DAI,Implemented runtime or experimental control for normal_lower_price.,USD per DAI,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,"[{""candidate_key"": ""phase2a:013"", ""collateral"": ""DAI"", ""distribution"": """", ""parameter"": ""dai_normal_lower_candidate"", ""regime"": ""calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""0.9992875291666665""}]",2A,Nearby-threshold sensitivity required.,USD_per_DAI,hourly,provisional_sensitivity_required,calibration,DAI,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.2,`normal_upper_price`,normal_upper_price,ConfidenceConfig and confidence classification,1.01 USD/DAI,Implemented runtime or experimental control for normal_upper_price.,USD per DAI,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,"[{""candidate_key"": ""phase2a:014"", ""collateral"": ""DAI"", ""distribution"": """", ""parameter"": ""dai_normal_upper_candidate"", ""regime"": ""calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""1.0030259083333335""}]",2A,Nearby-threshold sensitivity required.,USD_per_DAI,hourly,provisional_sensitivity_required,calibration,DAI,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.3,`stress_lower_price`,stress_lower_price,ConfidenceConfig and confidence classification,0.97 USD/DAI,Implemented runtime or experimental control for stress_lower_price.,USD per DAI,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,"[{""candidate_key"": ""phase2a:015"", ""collateral"": ""DAI"", ""distribution"": """", ""parameter"": ""dai_stress_lower_candidate"", ""regime"": ""calibration"", ""status"": ""provisional_sensitivity_required"", ""value"": ""0.9967380166666668""}]",2A,Nearby-threshold sensitivity required.,USD_per_DAI,hourly,provisional_sensitivity_required,calibration,DAI,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.4,`max_normal_liquidatable_share`,max_normal_liquidatable_share,ConfidenceConfig and confidence classification,0.05 share,Largest liquidatable share still consistent with normal confidence.,share of all active vaults,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,"[{""candidate_key"": ""phase2b:007"", ""collateral"": ""six target ilks"", ""distribution"": ""{\""active_indebted_denominator_maximum\"": 0.0, \""maximum\"": 0.0, \""q90\"": 0.0, \""q99\"": 0.0}"", ""parameter"": ""max_normal_liquidatable_share"", ""regime"": ""quiet_mature"", ""status"": ""ready_for_review"", ""value"": ""0.0""}]",2B,"[0.0, 0.0]",share of all active vaults,all 696 hourly snapshots,ready_for_review,quiet_mature,six target ilks,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,requires confirmation that one simulation step is one hour,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.5,`max_stress_liquidatable_share`,max_stress_liquidatable_share,ConfidenceConfig and confidence classification,0.30 share,Liquidatable share above which panic may be triggered.,share of all active vaults,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,"[{""candidate_key"": ""phase2b:008"", ""collateral"": ""six target ilks"", ""distribution"": ""{\""classifier_stress_maximum\"": 0.0011855364552459987, \""classifier_stress_q99\"": 0.0010638030014861334, \""full_named_window_q95\"": 0.0, \""unconstrained_classifier_stress_q95\"": 0.0005775460206379942}"", ""parameter"": ""max_stress_liquidatable_share"", ""regime"": ""stress"", ""status"": ""ready_for_review"", ""value"": ""0.0005775460206379942""}, {""candidate_key"": ""phase2c:004"", ""collateral"": ""global primary; exact-ilk diagnostics"", ""distribution"": """", ""parameter"": ""max_stress_liquidatable_share"", ""regime"": ""labelled hierarchy: moderate USDC/SVB and severe Terra/CeFi"", ""status"": ""provisional_distribution_choice"", ""value"": ""{\""moderate_usdc_svb_q95\"": 0.0005775460206379942, \""terra_cefi_maximum\"": 0.0284697508896797, \""terra_cefi_q95\"": 0.001852517548856703}""}]",2B; 2C,"[0.0, 0.0008886255924170616]; {""terra_q95_day_block_interval"": [0.0004661399314760731, 0.004080066315158479]}",share of all active vaults,Phase 2A classifier-stress hours within USDC/SVB; labelled hierarchy: moderate USDC/SVB and severe Terra/CeFi,provisional_distribution_choice; ready_for_review,labelled hierarchy: moderate USDC/SVB and severe Terra/CeFi; stress,global primary; exact-ilk diagnostics; six target ilks,requires_regime_interface,compatible subject to stated units and scope,requires_regime_interface,compatible,requires confirmation that one simulation step is one hour,Preserve moderate USDC/SVB and severe Terra/CeFi thresholds as named evidence; select only within an explicit scenario until a regime override interface exists.,optional regime-specific confidence thresholds,"threshold ordering, named-regime and withheld FTX validation tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.6,`bad_debt_panic_threshold`,bad_debt_panic_threshold,ConfidenceConfig and confidence classification,1000 DAI,Implemented runtime or experimental control for bad_debt_panic_threshold.,DAI bad debt,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.7,`normal_confidence`,normal_confidence,ConfidenceConfig and confidence classification,1.0,Implemented runtime or experimental control for normal_confidence.,dimensionless confidence index,per simulation step,scalar/control,global; confidence state may alter use,experimental configuration,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.8,`stress_confidence`,stress_confidence,ConfidenceConfig and confidence classification,0.5,Implemented runtime or experimental control for stress_confidence.,dimensionless confidence index,per simulation step,scalar/control,global; confidence state may alter use,experimental configuration,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.9,`panic_confidence`,panic_confidence,ConfidenceConfig and confidence classification,0.1,Implemented runtime or experimental control for panic_confidence.,dimensionless confidence index,per simulation step,scalar/control,global; confidence state may alter use,experimental configuration,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.5.10,`panic_selling_multiplier`,panic_selling_multiplier,ConfidenceConfig and confidence classification,2.0 multiplier,Implemented runtime or experimental control for panic_selling_multiplier.,dimensionless multiplier,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,confidence.py validation/smoke checks and Phase 2A threshold diagnostics; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.1,`peg_price`,peg_price,DAIMarketConfig and DAI price update,1.0 USD/DAI,Implemented runtime or experimental control for peg_price.,USD per DAI,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1D protocol parameter panel,,,,protocol_constant,not regime-specific,global; confidence state may alter use,protocol_constant_ready,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Historical replay uses effective-dated exact-ilk values; generic experiments use one declared baseline timestamp and explicit overrides.,configuration mapping only for represented fields,"exact-ilk mapping, baseline timestamp and override tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.2,`price_adjustment_speed`,price_adjustment_speed,DAIMarketConfig and DAI price update,0.02 per step,Implemented runtime or experimental control for price_adjustment_speed.,per simulation step,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.3,`arbitrage_strength`,arbitrage_strength,DAIMarketConfig and DAI price update,1.0,Implemented runtime or experimental control for arbitrage_strength.,dimensionless response coefficient,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.4,`above_peg_supply_strength`,above_peg_supply_strength,DAIMarketConfig and DAI price update,1.0,Implemented runtime or experimental control for above_peg_supply_strength.,dimensionless response coefficient,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.5,`panic_strength`,panic_strength,DAIMarketConfig and DAI price update,1.0,Implemented runtime or experimental control for panic_strength.,dimensionless response coefficient,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.6,`noise_std`,noise_std,DAIMarketConfig and DAI price update,0.0005 USD/DAI per step,Implemented runtime or experimental control for noise_std.,USD per DAI per step,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.7,`min_price`,min_price,DAIMarketConfig and DAI price update,0.50 USD/DAI,Implemented runtime or experimental control for min_price.,USD per DAI,per simulation step,scalar/control,global; confidence state may alter use,experimental configuration,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Experimental design,,,,scenario_only,not regime-specific,global; confidence state may alter use,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.8,`max_price`,max_price,DAIMarketConfig and DAI price update,1.50 USD/DAI,Implemented runtime or experimental control for max_price.,USD per DAI,per simulation step,scalar/control,global; confidence state may alter use,experimental configuration,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Experimental design,,,,scenario_only,not regime-specific,global; confidence state may alter use,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.9,`enable_peg_recovery`,enable_peg_recovery,DAIMarketConfig and DAI price update,false,Implemented runtime or experimental control for enable_peg_recovery.,boolean,per simulation step,scalar/control,global; confidence state may alter use,experimental configuration,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Experimental design,,,,scenario_only,not regime-specific,global; confidence state may alter use,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.10,`arbitrage_recovery_strength`,arbitrage_recovery_strength,DAIMarketConfig and DAI price update,0.0,Implemented runtime or experimental control for arbitrage_recovery_strength.,dimensionless response coefficient,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.11,`policy_feedback_strength`,policy_feedback_strength,DAIMarketConfig and DAI price update,0.0,Implemented runtime or experimental control for policy_feedback_strength.,dimensionless response coefficient,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.6.12,`bad_debt_recovery_drag`,bad_debt_recovery_drag,DAIMarketConfig and DAI price update,1.0,Implemented runtime or experimental control for bad_debt_recovery_drag.,dimensionless drag coefficient,per simulation step,scalar/control,global; confidence state may alter use,model mechanics,dai_market.py validation/smoke checks and established experiment regressions; no dedicated pytest for every behavioural field,,Phase 1A–1C target moments and later simulator outputs,,,,requires_model_calibration,not regime-specific,global; confidence state may alter use,not_identifiable,compatible subject to stated units and scope,not_identifiable,compatible,compatible or not applicable,Estimate later by simulation matching or retain as an explicitly labelled scenario control; do not claim direct empirical identification.,none until behavioural calibration is designed,"simulation-matching, ablation and withheld-validation tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
